date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-05-23,0.1525688111888112,0.5267,0.1027,17,3,3,7,65,1,5
2022-05-24,0.3028596560372626,0.4588,0.4215,19,2,11,18,127,3,5
2022-05-25,0.5218030186608122,0.3612,0.4019,14,4,7,7,87,2,5
2022-05-26,-0.31886450131233596,0.296,0.8316,18,5,10,10,61,2,5
2022-05-27,0.1121386446886447,0.4019,0.1027,7,1,4,8,39,1,5
2022-05-28,0.31880627853881277,0.4767,0.2263,18,1,3,10,44,1,5
2022-05-29,0.3981887206661622,0.296,0.3612,5,4,20,25,265,5,5
2022-05-30,0.3704772151898734,0.4939,0.5574,10,1,6,5,40,2,5
2022-05-31,0.42498267581475124,0.4019,0.4588,14,2,7,9,62,2,5
2022-06-01,0.3860929969104016,0.2732,0.7096,20,5,6,9,72,1,5
2022-06-02,0.3833721236028929,0.3612,0.8316,17,4,4,16,64,2,5
2022-06-03,0.3338794263105836,0.4215,0.5994,26,4,5,5,30,1,5
2022-06-04,0.44252156133829,0.5719,0.4215,11,1,6,7,36,2,5
2022-06-05,0.12226670403587442,0.4939,0.3612,11,2,4,13,60,1,5
2022-06-06,0.30767433881343825,0.3818,0.4019,25,6,7,6,38,1,5
2022-06-07,0.3441234703632888,0.5267,0.25,21,7,12,20,62,5,5
2022-06-08,0.26907177097203727,0.5574,0.5574,13,1,10,12,45,2,5
2022-06-09,0.2001024464831804,0.5267,0.7764,15,2,3,7,63,2,5
2022-06-10,0.12487246621621623,0.4939,0.8885,13,2,3,5,37,1,5
2022-06-11,-0.02872549504950497,0.4939,0.4717,5,2,5,10,58,1,5
2022-06-12,0.7001352678571428,0.743,0.0,9,0,2,9,23,2,5
2022-06-13,0.3484599547511312,0.3612,0.3818,16,3,3,8,45,1,5
2022-06-14,0.6197527893422148,0.4404,0.4404,16,2,6,14,127,3,5
